pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,st_lum,st_mass,sy_snum,sy_pnum,pl_dens,st_teff,st_rad,pl_temp,habitability_score
CoRoT-7 c,2.83,8.4,0.046,0.0,0.6915901242788246,0.9,1,3,2.04,5256.0,0.86,14698.911615723064,0.36053249160755707
CoRoT-8 b,6.39,69.92,0.063,0.0,0.6650664244684812,0.89,1,1,1.6,5080.0,0.8,11708.41057320707,0.3144505181275589
CoRoT-9 b,11.949,266.9772,0.4021,0.133,0.866860702828407,0.96,2,1,0.86,5625.0,0.96,5621.479340449134,0.22520704170135486
DE CVn b,12.4,3823.2733,5.75,0.0,0.09473176224746377,0.51,2,1,11.0,3579.0,0.42,625.621886381541,0.2540671779920595
DMPP-1 b,5.29,24.27,0.1462,0.083,0.32,1.21,1,4,0.901,6196.0,1.26,11764.744707276635,0.25270280435257275
DMPP-1 c,3.06,9.6,0.0733,0.057,0.32,1.21,1,4,1.84,6196.0,1.26,16615.147708170516,0.2963967519433319
DMPP-1 d,1.65,3.35,0.0422,0.07,0.32,1.21,1,4,4.1,6196.0,1.26,21897.773954474334,0.4296195799728738
DMPP-1 e,1.86,4.13,0.0651,0.07,0.32,1.21,1,4,3.53,6196.0,1.26,17630.543457457534,0.38809619565965736
DMPP-2 b,14.3,138.89171,0.0664,0.078,0.104,1.44,1,1,0.261,6500.0,1.78,21767.012681590826,0.2080950560169112
DMPP-3 A b,1.41,2.58,0.0662,0.14,0.6142107088596144,0.87,2,1,5.06,5138.0,0.91,12320.981728764902,0.46699651302066464
DMPP-4 b,3.53,12.2,0.04853,0.063,0.459,1.25,1,1,1.52,6400.0,1.38,22073.636358509484,0.26935647318772726
DP Leo b,12.7,1995.88832,8.19,0.39,0.2728800698583353,0.69,2,1,5.35,13500.0,0.01,305.10640854413066,0.4209976527154219
EPIC 201170410.02,1.047,1.15,0.0349,0.0,0.01313387844812034,0.29,1,1,5.51,3648.0,0.28,6683.141309511997,0.54573070783583
EPIC 201595106 b,1.565,7.67,0.0177,0.0,0.866860702828407,0.96,1,2,11.1,5679.0,0.98,27331.142437912284,0.36832579502350293
EPIC 201757695.02,0.908,0.688,0.0296,0.0,0.332376270499219,0.73,1,1,5.05,4520.0,0.66,13804.607378166316,0.5817229807591007
EPIC 211822797 b,1.92,4.35,0.1195,0.06,0.1876596548597487,0.62,1,1,3.38,4057.0,0.58,5780.888115283621,0.4018449100961742
EPIC 211945201 b,5.76,27.0,0.1493,0.0,0.373,1.17,1,1,0.65,6069.0,1.39,11977.168127281393,0.28178487541387276
EPIC 212737443 b,2.586,7.2,0.098,0.2,0.2728800698583353,0.69,1,2,2.29,4684.0,0.67,7921.378441515424,0.30953021042527096
EPIC 212737443 c,2.69,7.7,0.28,0.2,0.2728800698583353,0.69,1,2,2.17,4684.0,0.67,4686.350685213054,0.30433378711601455
EPIC 220674823 b,1.676,7.8,0.01314,0.0,0.7188609179509692,0.91,1,2,9.09,5578.0,0.99,31315.39807878985,0.3670732007376568
EPIC 220674823 c,2.84,7.32,0.1073,0.17,0.7188609179509692,0.91,1,2,1.72,5578.0,0.99,10958.617243941993,0.3026529268333715
EPIC 229004835 b,2.332,10.4,0.1237,0.23,0.03,0.97,1,1,4.49,5868.0,1.0,10791.076405151021,0.3399329839325567
EPIC 249893012 b,1.95,8.75,0.047,0.06,0.356,1.05,1,3,6.39,5430.0,1.71,21184.024400167113,0.39955145482959664
EPIC 249893012 c,3.67,14.67,0.13,0.07,0.356,1.05,1,3,1.62,5430.0,1.71,12737.544691544801,0.29563070545587533
EPIC 249893012 d,3.94,10.18,0.22,0.15,0.356,1.05,1,3,0.91,5430.0,1.71,9791.42849174799,0.272342612057218
G 9-40 b,1.9,4.0,0.0418,0.0,0.014788509052639483,0.3,1,1,3.2,3395.0,0.3,5882.633303015574,0.3901830545968271
GJ 1061 b,1.1,1.37,0.021,0.31,0.000598596759095804,0.12,1,3,5.66,2953.0,0.16,5271.974526032352,0.45636023652885327
GJ 1061 c,1.18,1.74,0.035,0.29,0.000598596759095804,0.12,1,3,5.82,2953.0,0.16,4083.653908190607,0.6722323268187309
GJ 1061 d,1.16,1.64,0.054,0.53,0.000598596759095804,0.12,1,3,5.77,2953.0,0.16,3287.6537380354994,0.4328502704134064
GJ 1132 b,1.192,1.83705,0.0157,0.0118,0.0029897687853745482,0.19,1,2,5.97,3229.0,0.22,7817.881285664048,0.5131550176060777
GJ 1132 c,1.43,2.64,0.0476,0.27,0.0024743080487279667,0.18,1,2,4.96,3270.0,0.21,4442.356786494496,0.42260031043085655
GJ 1148 b,11.9,96.7,0.166,0.38,0.022917973327499976,0.34,1,2,0.315,3287.0,0.36,3130.8079115907085,0.34821436961581953
GJ 1148 c,9.71,68.06,0.912,0.342,0.022917973327499976,0.34,1,2,0.409,3287.0,0.36,1335.7126759926168,0.18651490289404754
GJ 1214 b,2.733,8.41,0.01505,0.0062,0.0024743080487279667,0.18,1,1,2.26,3101.0,0.22,7668.393119674105,0.29534205593800483
GJ 1252 b,1.193,1.32,0.00915,0.0,0.03382537251709137,0.38,1,1,4.2,3458.0,0.39,14601.795358502492,0.495342946563253
GJ 1265 b,2.63,7.4,0.026,0.04,0.0024743080487279667,0.18,1,1,2.24,3236.0,0.19,5657.937576319027,0.290451738671419
GJ 143 b,2.61,22.7,0.1915,0.188,0.332376270499219,0.73,1,2,7.0,4640.0,0.7,5737.75663148139,0.3284521885352045
GJ 15 A b,1.55,3.03,0.072,0.094,0.03382537251709137,0.38,2,2,4.47,3607.0,0.38,5359.585513431422,0.42072523568645337
GJ 15 A c,6.67,36.0,5.4,0.27,0.03382537251709137,0.38,2,2,0.667,3607.0,0.38,618.8716277848899,0.17949762139658257
GJ 160.2 b,3.17,10.2,0.053,0.06,0.2728800698583353,0.69,1,1,1.76,4347.0,0.66,9921.633613075477,0.31679650352655664
GJ 163 b,3.25,10.6,0.0607,0.073,0.04047715405015526,0.4,1,3,1.7,3500.0,0.41,5883.35615092085,0.28639065762418625
GJ 163 c,2.5,6.8,0.1254,0.099,0.04047715405015526,0.4,1,3,2.39,3500.0,0.41,4093.273055062296,0.30927227988245953
GJ 163 d,5.92,29.4,1.0304,0.373,0.04047715405015526,0.4,1,3,0.779,3500.0,0.41,1427.9617022496468,0.1998397778042532
GJ 179 b,13.8,301.93699,2.41,0.21,0.027993599999999997,0.36,1,1,0.631,3370.0,0.38,865.5111958198042,0.20024940247735265
GJ 180 b,2.43,6.49,0.092,0.07,0.05213622647516791,0.43,1,3,2.49,3371.0,0.41,4602.73826464447,0.32678442396062835
GJ 180 c,2.41,6.4,0.129,0.09,0.05213622647516791,0.43,1,3,2.51,3371.0,0.41,3887.0071357048764,0.3215712554484259
GJ 180 d,2.66,7.56,0.309,0.14,0.05213622647516791,0.43,1,3,2.21,3811.5,0.41,2839.671645144093,0.5402612692956491
GJ 2030 b,2.03,4.76743,0.034,0.239,0.612,0.96,1,2,3.13,5485.0,2.24,28795.239478079216,0.34526891741883026
GJ 2030 c,12.3,4069.15709,16.761,0.041,0.612,0.96,1,2,12.0,5485.0,2.24,1296.911048939788,0.27640288895232623
GJ 2056 b,4.17,16.2,0.283,0.72,0.1876596548597487,0.62,1,1,1.23,4069.95,0.71,4169.505419324741,0.22127711407642037
GJ 229 A c,2.87,8.58137,0.384,0.366,0.09473176224746377,0.51,3,2,1.99,3912.54,0.46,2769.6928280215443,0.46413017807554413
GJ 229 b,3.97,14.93794,1.086,0.404,0.09473176224746377,0.51,3,2,1.31,3912.54,0.46,1646.9571727769385,0.19409776822925984
GJ 251 b,1.83,4.0,0.0818,0.1,0.027993599999999997,0.36,1,1,3.59,3451.0,0.36,4682.513843531244,0.3745510470481653
GJ 27.1 b,3.66,13.0,0.101,0.08,0.10838409199864159,0.53,1,1,1.46,3542.0,0.52,5198.152949469443,0.28429897452532127
GJ 273 b,1.51,2.89,0.091101,0.1,0.01313387844812034,0.29,1,2,4.61,3382.0,0.29,3902.74829165085,0.44518614125243483
GJ 273 c,1.06,1.18,0.036467,0.17,0.01313387844812034,0.29,1,2,5.44,3382.0,0.29,6168.5358893608345,0.4940850028958923
GJ 3021 b,13.1,1071.04,0.49,0.511,0.6915901242788246,0.9,2,1,2.62,5540.0,0.9,4856.154456506178,0.21755953064898068
GJ 3082 b,2.79,8.2,0.079,0.22,0.07117746275774374,0.47,1,1,2.07,3910.0,0.47,6168.3875635916165,0.2687994224332862
GJ 3090 b,2.13,3.34,0.03165,0.32,0.10139387074808813,0.52,1,1,1.89,3556.0,0.52,9322.579146578577,0.29916193559027254
GJ 3138 b,1.18,1.78,0.0197,0.19,0.2592872696148425,0.68,1,3,5.95,3717.0,0.5,12111.668132046338,0.5077042708541415
GJ 3138 c,1.88,4.18,0.057,0.11,0.2592872696148425,0.68,1,3,3.46,3717.0,0.5,7120.322222324235,0.40208300264219354
GJ 3138 d,3.23,10.5,0.698,0.32,0.2592872696148425,0.68,1,3,1.71,3717.0,0.5,2034.7420678586952,0.5119944853113678
