pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,st_lum,st_mass,sy_snum,sy_pnum,pl_dens,st_teff,st_rad,pl_temp
Kepler-758 d,2.12,5.14,0.1527,0.0,0.563,1.16,1,4,2.96,6228.0,1.42,12283.800930964733
Kepler-758 e,1.53,2.96,0.0829,0.0,0.563,1.16,1,4,4.54,6228.0,1.42,16671.513290791183
Kepler-759 b,2.27,5.77,0.2329,0.0,0.061,1.04,1,1,2.71,5860.0,1.04,8009.198430280808
Kepler-76 b,15.244,638.8383,0.0274,0.0,0.451,1.2,1,1,1.1,6409.0,1.32,28771.431336981044
Kepler-760 b,3.06,9.59,0.08087,0.0,0.6650664244684812,0.89,1,2,1.84,5322.0,0.85,11159.638427727485
Kepler-760 c,1.48,2.79,0.03489,0.0,0.6650664244684812,0.89,1,2,4.73,5322.0,0.85,16989.99928216981
Kepler-761 b,2.03,4.78,0.0874,0.0,0.8356657801380584,0.95,1,1,3.14,5706.0,0.93,12038.629184245283
Kepler-762 b,12.68,2038.720832,0.0493,0.0,0.318,1.06,1,1,5.51,5944.0,1.08,17993.959184088493
Kepler-763 b,1.22,1.98,0.0205,0.0,0.5432221889406211,0.84,1,3,5.99,5166.0,0.8,20872.860806922552
Kepler-763 c,1.42,2.6,0.0466,0.0,0.457946721791957,0.8,1,3,4.99,4999.0,0.84,13727.43302847856
Kepler-763 d,1.67,3.43,0.0634,0.0,0.457946721791957,0.8,1,3,4.05,4999.0,0.84,11768.948516249526
Kepler-764 b,1.64,3.33,0.0724,0.0,0.746891291445067,0.92,1,1,4.15,5557.0,0.89,12601.598231715525
Kepler-765 b,2.43,6.48,0.1754,0.0,0.146,1.05,1,1,2.48,5901.0,1.06,9382.601363141714
Kepler-766 b,3.39,11.4,0.066,0.0,0.451,1.1,1,1,1.61,5992.0,1.15,16177.38306405603
Kepler-767 b,6.64,35.7,0.5874,0.0,0.476,0.96,1,1,0.67,5694.0,0.94,4658.798539907129
Kepler-768 b,1.79,3.86,0.092,0.0,0.499284959284455,0.82,1,1,3.7,5108.0,0.78,9619.75006165288
Kepler-769 b,2.92,8.85,0.0778,0.0,0.179,1.19,1,2,1.95,6186.0,1.28,16228.73296258933
Kepler-769 c,1.79,3.86,0.1297,0.0,0.179,1.19,1,2,3.7,6186.0,1.28,12569.107036188907
Kepler-77 b,10.761,136.661,0.04501,0.0,0.8356657801380584,0.95,1,1,0.603,5520.0,0.99,16744.095052484197
Kepler-770 b,2.3,5.9,0.1694,0.0,0.054,0.94,1,3,2.66,5598.0,0.92,8437.807573933438
Kepler-770 c,1.2,1.87,0.0309,0.0,0.054,0.94,1,3,5.95,5598.0,0.92,19756.366777889398
Kepler-770 d,1.4,2.54,0.0616,0.0,0.054,0.94,1,3,5.09,5598.0,0.92,13992.520887978093
Kepler-771 b,1.82,3.97,0.0843,0.0,0.355,1.03,1,1,3.62,5906.0,1.05,13481.363444840505
Kepler-772 b,1.82,3.97,0.11153,0.0,0.475,0.98,1,1,3.62,5714.0,1.11,11659.109644581647
Kepler-773 b,1.43,2.63,0.04682,0.0,0.095,1.04,1,1,4.94,5850.0,1.01,17573.584762773506
Kepler-774 b,3.17,10.2,0.1082,0.0,0.753,1.57,1,1,1.76,6403.0,2.42,19585.608388554894
Kepler-775 b,1.19,1.81,0.01834,0.0,0.746891291445067,0.92,1,1,5.9,5468.0,0.84,23934.700389698803
Kepler-776 b,1.28,2.18,0.0523,0.0,0.5209227484918181,0.83,1,1,5.71,5071.0,0.78,12666.294446889275
Kepler-777 b,1.47,2.76,0.0519,0.0,0.14859287222313186,0.58,1,1,4.77,4043.0,0.56,8589.612815992243
Kepler-778 b,1.68,3.46,0.0453,0.0,0.47829690000000014,0.81,1,1,4.01,5102.0,0.77,13604.927382133896
Kepler-779 b,0.92,0.721,0.0533,0.0,0.06601648712374812,0.46,2,1,5.09,3804.0,0.44,7069.0776823742
Kepler-78 b,1.201,1.68,0.00901,0.0,0.4191129782637613,0.78,2,1,5.33,5058.0,0.75,29847.404643382186
Kepler-780 b,0.89,0.64,0.015,0.0,0.017,1.01,1,1,4.99,5769.0,1.02,30769.079752730748
Kepler-781 b,2.89,8.7,0.1019,0.0,0.47829690000000014,0.81,1,1,1.98,5162.0,0.78,9237.144164358206
Kepler-782 b,3.21,10.4,0.54494,0.0,0.11,0.98,1,1,1.73,5867.0,1.01,5166.089710917214
Kepler-783 b,0.78,0.399,0.04958,0.0,0.7756937995160011,0.93,1,2,4.62,5521.0,0.89,15129.305810622687
Kepler-783 c,2.332,6.04,0.06903,0.0,0.8052810653384567,0.94,1,2,2.62,5411.49,0.87,12425.591221088545
Kepler-784 b,1.58,3.12,0.22111,0.0,0.857,1.0,1,2,4.35,5674.0,1.32,8966.67888241777
Kepler-784 c,1.55,3.02,0.1309,0.0,0.857,1.02,1,2,4.46,5676.0,1.49,12385.832709981141
Kepler-785 b,13.02,2207.1556079999996,0.025,0.0,0.4006060816669288,0.77,1,1,5.51,4739.0,0.71,16334.482911530129
Kepler-786 b,2.43,6.48,0.25483,0.0,0.47829690000000014,0.81,1,1,2.48,4838.0,0.74,5332.316989466514
Kepler-787 b,1.28,2.18,0.0159,0.0,0.22140975341264896,0.65,1,1,5.71,4248.0,0.62,17156.998086654363
Kepler-788 b,2.55,7.04,0.0835,0.0,0.336,1.16,1,1,2.33,6159.0,1.23,15288.998365859794
Kepler-789 b,2.12,5.14,0.0951,0.0,0.496,1.01,1,1,2.96,5870.0,1.02,12433.9020216061
Kepler-79 b,3.47,10.9,0.117,0.015,0.342,1.17,1,4,1.43,6174.0,1.3,13310.822207176889
